"Area","Roundness","R","G","B"
1.686500000000000000e+03,8.603104731785741199e-01,1.468143738977072417e+02,9.172222222222222854e+01,7.893121693121693738e+01
1.582500000000000000e+03,8.671224248159035142e-01,1.540860692102928056e+02,9.946628216503992803e+01,8.761845607808341185e+01
1.476000000000000000e+03,8.756626537311826830e-01,1.531182582879762606e+02,9.583028203859475980e+01,8.178129638792677270e+01
1.576500000000000000e+03,8.560581812898262477e-01,1.482904761904761983e+02,9.192619047619047024e+01,8.005095238095238130e+01
1.462500000000000000e+03,8.705538731428246191e-01,1.435594871794871779e+02,8.523589743589744216e+01,7.372666666666667368e+01
1.707000000000000000e+03,8.905997567727889086e-01,1.499700520833333428e+02,9.605815972222222854e+01,8.282552083333332860e+01
1.718000000000000000e+03,8.466915666165614196e-01,1.536481331168831161e+02,1.032828733766233711e+02,9.220941558441558072e+01
1.676500000000000000e+03,8.868861237806806574e-01,1.440597555454957046e+02,8.909325486645541048e+01,7.521231326392032202e+01
1.669000000000000000e+03,8.707738688071380295e-01,1.430764860139860275e+02,8.789860139860140009e+01,7.676442307692308020e+01
1.802500000000000000e+03,8.872189717038683199e-01,1.374666666666666686e+02,8.471166666666667311e+01,7.306624999999999659e+01
1.714500000000000000e+03,8.877981323821850790e-01,1.408740675734971433e+02,8.787494515138217821e+01,7.714699429574375245e+01
1.949000000000000000e+03,8.541071768689189048e-01,1.550943732193732103e+02,1.064070512820512846e+02,9.345868945868946298e+01
1.623000000000000000e+03,8.520945964368533687e-01,1.427884259259259352e+02,8.921342592592593235e+01,7.805648148148148380e+01
1.438500000000000000e+03,8.744041949392741264e-01,1.490489130434782510e+02,9.182559288537549946e+01,8.251679841897232848e+01
1.612500000000000000e+03,8.852216657996565541e-01,1.484205030849549019e+02,9.265733270052207615e+01,8.005220692928334358e+01
1.535500000000000000e+03,8.656864997150283125e-01,1.414941463414634200e+02,8.249512195121951663e+01,7.069317073170731192e+01
1.627500000000000000e+03,8.215185110821192627e-01,1.445526315789473699e+02,9.130263157894736992e+01,8.285526315789473983e+01
2.004000000000000000e+03,8.676287245915261792e-01,1.443600305110602733e+02,9.250839054157131613e+01,7.897940503432494097e+01
1.768500000000000000e+03,8.440231835697742380e-01,1.524735177865612741e+02,1.004905138339920967e+02,8.887470355731225879e+01
1.613500000000000000e+03,8.841087092830712812e-01,1.490868794326241016e+02,9.544858156028368512e+01,8.385948581560283799e+01
1.915000000000000000e+03,8.608492263237091935e-01,1.502426242236024905e+02,9.831211180124223858e+01,8.521001552795030420e+01
1.708500000000000000e+03,8.753564091391242696e-01,1.461846808510638311e+02,9.367234042553191387e+01,8.357446808510638903e+01
1.895000000000000000e+03,8.711104571519879824e-01,1.499078801331853583e+02,9.902293747687754433e+01,8.522308546059933576e+01
1.196500000000000000e+03,8.657889957895368305e-01,1.554741917186613591e+02,9.708508224617129656e+01,8.920816789563244242e+01
1.725000000000000000e+03,8.734181677202420557e-01,1.370299642218246845e+02,8.246019677996422104e+01,7.148300536672630301e+01
1.611000000000000000e+03,8.775893839262745022e-01,1.431196013289036557e+02,8.438205980066445022e+01,7.119601328903654291e+01
1.814500000000000000e+03,8.623258792788989213e-01,1.472076767676767588e+02,9.456565656565656752e+01,8.380121212121211727e+01
1.836000000000000000e+03,8.751533651302890737e-01,1.386421487603305707e+02,8.754173553719007828e+01,7.825537190082644656e+01
1.804500000000000000e+03,8.503803032904744263e-01,1.479017857142857224e+02,9.243324829931972886e+01,7.752338435374149128e+01
1.389500000000000000e+03,8.788561802286236624e-01,1.434307851239669560e+02,8.666219008264462786e+01,7.867561983471074427e+01
1.566000000000000000e+03,8.422766372854121331e-01,1.608017391304347825e+02,1.066373913043478296e+02,9.562869565217391710e+01
1.231000000000000000e+03,8.056355559138903555e-01,1.447957575757575626e+02,7.995515151515151331e+01,6.967939393939393256e+01
1.620500000000000000e+03,8.688290142678376515e-01,1.502187234042553143e+02,9.539446808510638220e+01,8.418425531914893156e+01
9.665000000000000000e+02,8.052595774496923431e-01,1.670248579545454675e+02,9.964417613636364024e+01,8.679332386363635976e+01
1.545000000000000000e+03,8.682180282983650299e-01,1.455810616929698824e+02,8.821951219512195053e+01,7.691056910569105298e+01
1.598500000000000000e+03,8.758895393796030104e-01,1.561160000000000139e+02,1.016644444444444417e+02,8.964088888888889528e+01
1.661000000000000000e+03,8.759263278054878477e-01,1.458595555555555450e+02,9.112888888888889483e+01,7.810755555555554963e+01
1.450000000000000000e+03,8.505275229727395914e-01,1.511443504230960571e+02,9.269985067197610817e+01,8.288601294176207546e+01
1.443000000000000000e+03,8.843306463725293387e-01,1.544320987654321016e+02,9.670864197530863748e+01,8.403160493827159883e+01
1.683000000000000000e+03,8.742080361726722870e-01,1.494231805929919119e+02,9.587601078167115531e+01,8.564285714285713880e+01
1.303500000000000000e+03,8.646374410741582972e-01,1.506400230017251261e+02,8.936572742955721083e+01,7.704312823461759763e+01
1.404500000000000000e+03,8.901379530313346944e-01,1.471326644370122665e+02,8.815551839464882278e+01,7.615328874024525874e+01
1.761000000000000000e+03,8.769592317035079798e-01,1.527177287581699261e+02,9.885089869281046049e+01,8.500204248366013360e+01
1.440000000000000000e+03,8.723691439231610056e-01,1.524594202898550748e+02,9.749275362318840621e+01,8.900917874396135687e+01
1.624500000000000000e+03,8.539913168167596602e-01,1.521233115468409665e+02,9.871111111111110858e+01,8.589237472766885162e+01
1.527500000000000000e+03,8.789203187163178166e-01,1.546853345989558477e+02,9.848077835785477419e+01,8.484432842904604399e+01
1.556500000000000000e+03,8.758574245077428433e-01,1.440296022201665096e+02,8.883163737280295891e+01,7.965818686401479454e+01
1.687500000000000000e+03,8.608205890832160145e-01,1.487145969498910745e+02,9.657647058823529562e+01,8.668148148148148380e+01
1.427500000000000000e+03,8.718743737596000853e-01,1.597069970845481066e+02,1.033061224489795933e+02,9.361807580174927068e+01
1.608000000000000000e+03,8.759551392634695732e-01,1.404185714285714255e+02,8.276380952380952749e+01,7.136666666666666003e+01
1.180000000000000000e+03,8.790068621816371497e-01,1.521050061050061117e+02,8.964652014652014600e+01,7.823565323565323126e+01
1.446000000000000000e+03,8.481812401507459187e-01,1.621240310077519382e+02,1.055067829457364326e+02,9.458042635658914321e+01
1.067500000000000000e+03,8.775310662346345048e-01,1.579822161422708575e+02,9.399589603283173744e+01,8.320519835841312783e+01
1.752500000000000000e+03,8.753985446673564486e-01,1.508905660377358515e+02,9.963899371069182109e+01,8.980251572327044585e+01
1.632500000000000000e+03,8.864668448814725377e-01,1.466113172541743950e+02,9.054220779220779036e+01,7.766836734693877986e+01
1.735500000000000000e+03,8.798569127737326800e-01,1.474295833333333405e+02,9.356958333333332689e+01,8.046333333333333826e+01
1.514000000000000000e+03,8.740201717002249460e-01,1.588396501457725947e+02,1.022390670553935905e+02,8.952721088435373531e+01
1.610000000000000000e+03,8.714668656955317783e-01,1.494789115646258608e+02,9.514149659863944919e+01,8.517959183673468715e+01
1.694500000000000000e+03,8.501010545966578569e-01,1.574599673202614269e+02,1.056258169934640563e+02,9.305106209150326890e+01
1.610500000000000000e+03,8.824648753023776049e-01,1.543014184397163149e+02,9.974423758865248146e+01,8.695257092198581006e+01
1.105000000000000000e+03,8.555668595173501201e-01,1.581784759358288852e+02,9.152540106951872190e+01,8.155815508021390769e+01
1.406000000000000000e+03,8.880255542575684613e-01,1.451325695581014656e+02,8.680032733224221886e+01,7.538516093835242771e+01
1.597500000000000000e+03,8.635611920261428986e-01,1.566006695361071195e+02,9.834815877570540010e+01,8.629076996652320020e+01
1.727500000000000000e+03,8.415536877449191211e-01,1.574101921470342518e+02,1.060760233918128677e+02,9.590852130325814073e+01
1.569500000000000000e+03,8.616157547116657378e-01,1.519523809523809632e+02,9.491190476190476488e+01,8.038761904761905441e+01
1.463500000000000000e+03,8.670488785988014202e-01,1.517922553636839211e+02,9.104238618524333049e+01,7.676556776556776640e+01
1.905000000000000000e+03,8.057381407815759067e-01,1.446256195196340002e+02,9.252497140678612197e+01,8.037666793747617078e+01
1.427000000000000000e+03,8.505988343719428357e-01,1.560592808551992334e+02,9.950874635568513327e+01,8.901117589893100046e+01
1.350000000000000000e+03,8.468193020218949263e-01,1.617466878643349162e+02,1.028865924748277649e+02,9.113407525172230805e+01
1.817500000000000000e+03,8.778788650070314947e-01,1.455017094017094053e+02,9.013205128205127892e+01,7.396709401709401277e+01
1.447500000000000000e+03,8.518831719148536319e-01,1.523605128205128096e+02,9.186256410256410732e+01,7.820461538461537998e+01
1.755500000000000000e+03,8.731151112997036501e-01,1.505348936170212824e+02,9.622170212765956876e+01,8.277063829787233828e+01
1.057000000000000000e+03,8.607243192772547902e-01,1.638163265306122582e+02,9.764217687074830110e+01,8.831428571428571672e+01
1.866500000000000000e+03,8.743934032824973723e-01,1.454612605379365675e+02,9.459654757125652225e+01,8.348052990766760217e+01
1.369000000000000000e+03,8.731321701589173090e-01,1.591066252587991698e+02,1.013850931677018679e+02,8.977691511387163814e+01
1.708500000000000000e+03,8.624051466567130841e-01,1.481857142857142833e+02,9.583896103896104535e+01,8.588441558441557788e+01
1.864000000000000000e+03,8.365003721423361904e-01,1.612982583454281666e+02,1.130838171262699632e+02,1.030584179970972372e+02
1.792500000000000000e+03,8.591069351042945890e-01,1.566699999999999875e+02,1.044669230769230808e+02,9.085192307692307168e+01
1.643500000000000000e+03,8.788511013370408076e-01,1.430524118738404411e+02,9.016604823747681507e+01,8.191883116883117566e+01
1.650500000000000000e+03,8.676593834447902109e-01,1.582793028322440136e+02,1.029538126361655799e+02,8.962962962962963331e+01
1.944500000000000000e+03,8.560208911268442078e-01,1.443919753086419746e+02,9.146527777777777146e+01,7.939467592592592382e+01
1.432000000000000000e+03,8.535792087040099396e-01,1.611979218208807652e+02,1.044468085106382915e+02,9.326521523998020768e+01
2.212000000000000000e+03,8.376408715630979662e-01,1.530930158730158723e+02,1.057117460317460313e+02,9.293999999999999773e+01
1.776500000000000000e+03,7.700412244200388612e-01,1.621103974307507087e+02,1.084949819349658782e+02,9.495182657567242757e+01
1.739500000000000000e+03,8.764732906919353583e-01,1.619423769507803001e+02,1.118059223689475772e+02,1.018255302120848285e+02
1.482000000000000000e+03,8.692977855486898608e-01,1.604670542635658990e+02,1.037727713178294522e+02,9.241472868217054781e+01
1.777500000000000000e+03,8.326998523089413906e-01,1.545419594873914946e+02,1.014956593633732922e+02,8.895990078544853930e+01
2.002000000000000000e+03,8.737884139860849775e-01,1.432781432748537895e+02,9.509722222222222854e+01,8.303472222222222854e+01
2.012500000000000000e+03,8.723377225698442095e-01,1.469720965309200551e+02,9.211538461538461320e+01,7.775565610859727883e+01
2.352500000000000000e+03,8.660834816060353214e-01,1.454830827067669077e+02,9.587186716791980245e+01,8.134868421052631504e+01
2.396500000000000000e+03,8.590159350578381314e-01,1.642554061952074846e+02,1.174360023378141449e+02,1.065248392752776141e+02
2.398000000000000000e+03,7.204956482142255147e-01,1.681335784313725412e+02,1.172438725490196134e+02,1.036939338235294059e+02
2.683000000000000000e+03,8.154419355029728367e-01,1.537005555555555532e+02,1.049402777777777800e+02,8.861333333333332973e+01
2.348000000000000000e+03,8.303108377747528968e-01,1.557168560606060623e+02,1.042386363636363598e+02,9.117045454545454675e+01
2.045500000000000000e+03,8.497494990719193231e-01,1.582026143790849630e+02,1.053484692122463002e+02,9.030099759201925735e+01
2.247000000000000000e+03,8.281439562908191609e-01,1.754378556454028057e+02,1.248382749326145529e+02,1.092216232404911693e+02
2.047500000000000000e+03,8.587415084430599643e-01,1.609852216748768399e+02,1.080362420830401078e+02,9.483884588318085207e+01
2.304500000000000000e+03,8.316028167149327466e-01,1.563830845771144311e+02,1.027051409618573814e+02,8.637313432835820493e+01
2.360500000000000000e+03,8.536490557677773872e-01,1.642132730015082984e+02,1.137423831070889833e+02,9.912458521870286177e+01
2.511000000000000000e+03,8.369661236728613840e-01,1.583819857312722945e+02,1.098296670630202101e+02,9.796670630202140728e+01
2.323000000000000000e+03,8.652258210519402359e-01,1.577701822916666572e+02,1.069003906250000000e+02,9.357421875000000000e+01
2.334500000000000000e+03,8.993305187189424288e-01,1.602288708586883104e+02,1.103370520622041937e+02,9.358924949290060624e+01
2.199000000000000000e+03,8.371724456776640233e-01,1.503905723905724017e+02,9.767643097643097860e+01,8.270673400673400977e+01
1.888500000000000000e+03,8.884184985275231927e-01,1.701070588235293997e+02,1.140725490196078482e+02,9.887254901960784537e+01
2.176500000000000000e+03,8.559831665753709906e-01,1.579026229508196764e+02,1.087068852459016455e+02,9.551540983606557234e+01
2.175000000000000000e+03,8.610273123574210263e-01,1.772826797385620807e+02,1.233581699346405287e+02,1.055973856209150341e+02
2.375000000000000000e+03,8.598197413693520197e-01,1.777621700879765285e+02,1.280193548387096882e+02,1.103621700879765370e+02
2.582500000000000000e+03,8.442003903606742909e-01,1.623709766925638291e+02,1.148637624861265323e+02,1.004642064372918924e+02
2.499000000000000000e+03,8.388859778034687409e-01,1.699449013157894797e+02,1.205457785087719316e+02,1.040520833333333286e+02
2.428000000000000000e+03,8.174524011949060309e-01,1.434759923175416247e+02,9.548623559539052508e+01,8.284186939820742168e+01
2.188500000000000000e+03,8.720968560463038255e-01,1.598827160493827080e+02,1.091929824561403564e+02,9.732423651721897784e+01
2.280500000000000000e+03,8.503265435278504203e-01,1.639553124999999909e+02,1.134415625000000034e+02,1.002409375000000011e+02
2.134000000000000000e+03,8.854908191707984155e-01,1.606360398860398959e+02,1.044754273504273527e+02,8.797364672364672344e+01
2.218000000000000000e+03,8.573107185180552925e-01,1.711507263922518121e+02,1.221095641646489156e+02,1.088392857142857082e+02
1.952500000000000000e+03,8.927451414995980494e-01,1.598078431372549062e+02,1.051952941176470517e+02,8.979686274509803923e+01
2.282500000000000000e+03,8.779159752632779146e-01,1.586899744572158397e+02,1.079086845466155751e+02,9.094731800766282959e+01
2.013500000000000000e+03,8.594575965943894724e-01,1.569132075471698045e+02,1.053986277873070350e+02,9.281509433962264666e+01
2.354500000000000000e+03,8.700487229689743973e-01,1.595946439440048721e+02,1.106290322580645125e+02,9.712111990261716699e+01
2.503500000000000000e+03,8.382926781818663686e-01,1.645883620689655231e+02,1.181185344827586192e+02,1.035595366379310320e+02
1.957500000000000000e+03,8.810131103115156348e-01,1.593131725417439668e+02,1.056326530612244881e+02,9.235213358070501499e+01
2.351000000000000000e+03,8.241124848754318721e-01,1.496654064272211713e+02,9.904158790170131965e+01,8.588972904851921442e+01
2.030000000000000000e+03,8.187831817663812073e-01,1.711048999309868748e+02,1.177018633540372718e+02,1.047684610075914406e+02
2.011500000000000000e+03,8.103982145848546148e-01,1.562527716186252746e+02,9.973688100517368582e+01,8.272579453067257305e+01
2.239000000000000000e+03,8.588771594518631591e-01,1.594774603174603271e+02,1.094698412698412682e+02,9.418825396825397434e+01
2.278500000000000000e+03,8.651262250521406516e-01,1.493967532467532351e+02,9.870324675324675923e+01,8.605584415584415581e+01
2.212500000000000000e+03,8.588464553994069606e-01,1.708229508196721440e+02,1.212370491803278725e+02,1.060157377049180383e+02
2.552000000000000000e+03,8.126536997865589917e-01,1.698115068493150659e+02,1.213252054794520518e+02,1.089843835616438383e+02
2.236000000000000000e+03,7.597732483271267823e-01,1.758657635467980356e+02,1.252075123152709324e+02,1.118512931034482705e+02
1.978000000000000000e+03,8.647615755692499295e-01,1.485222703981079917e+02,9.507765076862436615e+01,8.295900670082774297e+01
2.280500000000000000e+03,8.645341750649927492e-01,1.603810532687651289e+02,1.031122881355932179e+02,8.240466101694914869e+01
2.875500000000000000e+03,8.718662846258502519e-01,1.482400731452455602e+02,9.474843260188087868e+01,6.889289446185998145e+01
2.440000000000000000e+03,7.968010766047106674e-01,1.544115138592750611e+02,9.319677124581176031e+01,7.064544623819676872e+01
2.458500000000000000e+03,8.564873021598918834e-01,1.589087878787878765e+02,1.012284848484848538e+02,7.265878787878787648e+01
2.458500000000000000e+03,8.564873021598918834e-01,1.586912121212121178e+02,1.010136363636363654e+02,7.258939393939394336e+01
2.855000000000000000e+03,8.566133358417427068e-01,1.522785714285714391e+02,9.394821428571428612e+01,7.292525510204082195e+01
2.280500000000000000e+03,8.645341750649927492e-01,1.604921307506053267e+02,1.030178571428571388e+02,8.222699757869249026e+01
2.280500000000000000e+03,8.645341750649927492e-01,1.606074455205811091e+02,1.032935835351089651e+02,8.265496368038741082e+01
2.440000000000000000e+03,7.968010766047106674e-01,1.549086201644836933e+02,9.357447456594577773e+01,7.070088333840999439e+01
2.280500000000000000e+03,8.645341750649927492e-01,1.607460653753026634e+02,1.033305084745762770e+02,8.251846246973366306e+01
2.458500000000000000e+03,8.564873021598918834e-01,1.591787878787878867e+02,1.013021212121212073e+02,7.240969696969696656e+01
2.440000000000000000e+03,7.968010766047106674e-01,1.547039293329272027e+02,9.357843435881815708e+01,7.103381053914102949e+01
2.855000000000000000e+03,8.566133358417427068e-01,1.522785714285714391e+02,9.394821428571428612e+01,7.292525510204082195e+01
2.440000000000000000e+03,7.968010766047106674e-01,1.548946085897045464e+02,9.368473956746878173e+01,7.098263783125190685e+01
2.832500000000000000e+03,8.066185165542361091e-01,1.157606752730883812e+02,7.074528301886792292e+01,6.832745779543198239e+01
2.123000000000000000e+03,8.450389136762656017e-01,1.184036388140161762e+02,6.727392183288409910e+01,6.472742587601078412e+01
3.074000000000000000e+03,7.816295703309843468e-01,1.241181226139681115e+02,8.025016842578037313e+01,7.675162811587694023e+01
2.236500000000000000e+03,8.446668964065366936e-01,1.226901364764268010e+02,7.422642679900744156e+01,7.164267990074441173e+01
1.976000000000000000e+03,8.001106489603263539e-01,1.302726666666666802e+02,7.934333333333333371e+01,7.757666666666666799e+01
2.237000000000000000e+03,7.430079658991750602e-01,1.080088815789473671e+02,5.700296052631578902e+01,5.650625000000000142e+01
2.605000000000000000e+03,7.319443252398778466e-01,1.241965000000000003e+02,7.966349999999999909e+01,7.891100000000000136e+01
2.484000000000000000e+03,7.882742776400227802e-01,1.286545608108108070e+02,7.956644144144144093e+01,7.543862612612612395e+01
2.562000000000000000e+03,8.687281738162386802e-01,1.195731922398589120e+02,6.949764844209288128e+01,6.399206349206349387e+01
3.297000000000000000e+03,8.128632822086560017e-01,1.228456402199528696e+02,8.686331500392772398e+01,8.563805970149253710e+01
3.117000000000000000e+03,7.406640304487922544e-01,1.167702609097206192e+02,6.836388824751789173e+01,6.551119833756638400e+01
2.505000000000000000e+03,8.598341886351760222e-01,1.196693815987933647e+02,6.972880844645550269e+01,6.377586726998491429e+01
2.726000000000000000e+03,8.163038683612273694e-01,1.171638127853881315e+02,6.428824200913241782e+01,5.572317351598173474e+01
1.963500000000000000e+03,8.559704770860375733e-01,1.061990758567578013e+02,5.307624181748170855e+01,5.182980361956103366e+01
2.747500000000000000e+03,8.415453215985913005e-01,1.131915322580645125e+02,7.186718750000000000e+01,7.077091733870967971e+01
1.927500000000000000e+03,8.007294839702393530e-01,1.209495711835334504e+02,7.287238421955403567e+01,7.252384219554031120e+01
2.150500000000000000e+03,8.061097853323883067e-01,1.203619652406417089e+02,7.060093582887699881e+01,6.952840909090909349e+01
2.096000000000000000e+03,8.567390889618050620e-01,1.148561224489795904e+02,6.593979591836735210e+01,6.457687074829931362e+01
2.389500000000000000e+03,7.440139076471217194e-01,1.449833287024173387e+02,9.630091692136704751e+01,9.008808002222839661e+01
